120	119	0.0075362451
119	109	0.0096486119
109	47	0.0648305079
109	38	0.0596647814
119	118	0.0037682791
118	108	0.0138257704
108	43	0.0701951689
108	107	0.0028196359
107	61	0.0954736769
107	53	0.0572854079
118	113	0.0114938797
113	6	0.0689282834
113	112	0.0024041526
112	42	0.0957614676
112	19	0.0913179402
120	117	0.0009590806
117	106	0.0120786459
106	74	0.0385765134
74	18	0.0352536797
74	17	0.0313681238
106	105	0.0023891663
105	41	0.0648454484
105	100	0.0074964089
100	45	0.0704258471
100	95	0.0076360641
95	48	0.1036779979
95	15	0.0726342498
117	116	0.0033672122
116	12	0.0977624619
116	115	0.0053652038
115	104	0.0120473719
104	99	0.0120725314
99	63	0.1885807435
63	3	0.1322486889
63	62	0.0215198171
62	2	0.1246549718
62	1	0.1155872893
99	91	0.0138502794
91	75	0.0257450177
75	5	0.0891093137
75	73	0.0051033377
73	40	0.0942065178
73	27	0.0686467797
91	80	0.0042326909
80	77	0.0065680344
77	67	0.0302843108
67	57	0.0614095758
67	10	0.0543373959
77	72	0.0177473178
72	50	0.0824905753
72	65	0.0255175001
65	59	0.0812659224
65	9	0.0762037949
80	78	0.0046197180
78	51	0.0825808320
78	13	0.0802724655
104	103	0.0038877512
103	97	0.0116483250
97	56	0.0781236103
97	96	0.0037509033
96	92	0.0100726310
92	11	0.0722060713
92	90	0.0057296622
90	4	0.0708603722
90	89	0.0013553075
89	85	0.0048488037
85	8	0.0772832315
85	7	0.0727840633
89	88	0.0041518693
88	52	0.0605401041
88	64	0.0454491287
64	33	0.0476464546
64	16	0.0337801941
96	94	0.0056134863
94	86	0.0147056848
86	54	0.0846057249
86	20	0.0506567247
94	87	0.0132847257
87	21	0.0515193738
87	71	0.0254489976
71	28	0.0380379374
71	69	0.0109189939
69	23	0.0219783686
69	68	0.0005653730
68	29	0.0226913456
68	25	0.0203772950
103	98	0.0106890635
98	39	0.1204288600
98	93	0.0141606420
93	49	0.0822133814
93	26	0.0759292834
115	114	0.0038721043
114	102	0.0117075956
102	83	0.0107871348
83	22	0.0893299081
83	70	0.0312959331
70	35	0.0486748872
70	66	0.0135727575
66	60	0.0343723235
66	30	0.0261929524
102	101	0.0033868221
101	24	0.0867460556
101	84	0.0165513872
84	55	0.0431570218
84	81	0.0069775677
81	44	0.0602104012
81	14	0.0467882529
114	111	0.0038911174
111	36	0.1041857138
111	79	0.0248519713
79	37	0.0459632162
79	76	0.0112373221
76	46	0.0419816435
76	34	0.0387720577
120	110	0.0007809656
110	58	0.0994636314
110	82	0.0142644978
82	32	0.0805450228
82	31	0.0648116394
